PA,batting_runs_proxy,centered_candidate_runs_per_25_games,lower_half_PA_threshold,method,official_eligible,players,position,raw_scarcity_runs_per_100_pa,variant
449,19.69058357779226,-3.9675653643186415,,offensive_scarcity_proxy,False,19,LF,-4.385430640933689,leave_team_out:Carolina Blaze
448,12.31191370318588,-2.3303297464175152,,offensive_scarcity_proxy,False,14,CF,-2.7481950230325625,leave_team_out:Carolina Blaze
439,-11.451597129289611,3.026429542968034,,offensive_scarcity_proxy,False,22,RF,2.6085642663529867,leave_team_out:Carolina Blaze
439,-1.84166917476052,0.5485553168450767,,offensive_scarcity_proxy,False,19,C,0.4195146183964738,leave_team_out:Chicago Bandits
448,-7.492497779116536,1.8014732384299728,,offensive_scarcity_proxy,False,18,1B,1.6724325399813698,leave_team_out:Chicago Bandits
403,-9.05890059758613,2.3769068516957814,,offensive_scarcity_proxy,False,16,2B,2.247866153247178,leave_team_out:Chicago Bandits
417,5.775990082621283,-1.256088817767532,,offensive_scarcity_proxy,False,21,3B,-1.385129516216135,leave_team_out:Chicago Bandits
425,1.6965853193208353,-0.2701558472739465,,offensive_scarcity_proxy,False,13,SS,-0.3991965457225495,leave_team_out:Chicago Bandits
442,22.965988190616414,-5.06688423155511,,offensive_scarcity_proxy,False,17,LF,-5.195924930003713,leave_team_out:Chicago Bandits
403,0.6850440591249566,-0.040945420440964386,,offensive_scarcity_proxy,False,12,CF,-0.16998611888956738,leave_team_out:Chicago Bandits
411,-8.358641236781635,2.1627733594660326,,offensive_scarcity_proxy,False,23,RF,2.0337326610174293,leave_team_out:Chicago Bandits
491,-14.769210287462965,3.068920507507836,,offensive_scarcity_proxy,False,19,C,3.0079858019272843,leave_team_out:Oklahoma City Spark
516,-20.24739853312111,3.984849149983868,,offensive_scarcity_proxy,False,19,1B,3.9239144444033163,leave_team_out:Oklahoma City Spark
465,0.5009165450177013,-0.046789282595298,,offensive_scarcity_proxy,False,16,2B,-0.10772398817584976,leave_team_out:Oklahoma City Spark
478,19.250754486270868,-3.9664197894551947,,offensive_scarcity_proxy,False,23,3B,-4.0273544950357465,leave_team_out:Oklahoma City Spark
502,7.173336276710462,-1.368016743963365,,offensive_scarcity_proxy,False,14,SS,-1.4289514495439168,leave_team_out:Oklahoma City Spark
503,19.078690743384264,-3.7320455614938544,,offensive_scarcity_proxy,False,20,LF,-3.792980267074406,leave_team_out:Oklahoma City Spark
478,-1.7000512244260793,0.41659395755253487,,offensive_scarcity_proxy,False,14,CF,0.3556592519719831,leave_team_out:Oklahoma City Spark
470,-6.908756447564205,1.5308828859133612,,offensive_scarcity_proxy,False,27,RF,1.4699481803328094,leave_team_out:Oklahoma City Spark
490,-5.924862945906971,1.49270064673169,,offensive_scarcity_proxy,False,18,C,1.2091557032463205,leave_team_out:Portland Cascade
519,-15.171684300304593,3.2067981805382777,,offensive_scarcity_proxy,False,21,1B,2.9232532370529083,leave_team_out:Portland Cascade
470,-5.171412496470354,1.3838454746492743,,offensive_scarcity_proxy,False,18,2B,1.100300531163905,leave_team_out:Portland Cascade
483,20.184152315932206,-3.895368579481961,,offensive_scarcity_proxy,False,21,3B,-4.17891352296733,leave_team_out:Portland Cascade
515,9.749342863249595,-1.6095313406407654,,offensive_scarcity_proxy,False,14,SS,-1.8930762841261348,leave_team_out:Portland Cascade
511,17.42108480292043,-3.1256693036614855,,offensive_scarcity_proxy,False,19,LF,-3.409214247146855,leave_team_out:Portland Cascade
493,9.75478270852529,-1.6951128067226002,,offensive_scarcity_proxy,False,14,CF,-1.9786577502079696,leave_team_out:Portland Cascade
466,-19.64988402857807,4.500258254339032,,offensive_scarcity_proxy,False,28,RF,4.216713310853663,leave_team_out:Portland Cascade
444,-5.117286190968553,1.458333942516557,,offensive_scarcity_proxy,False,16,C,1.1525419349028272,leave_team_out:Texas Volts
455,-19.968457016998695,4.6944638794815745,,offensive_scarcity_proxy,False,14,1B,4.388671871867845,leave_team_out:Texas Volts
411,-1.2415391312838255,0.6078696551280425,,offensive_scarcity_proxy,False,15,2B,0.30207764751431276,leave_team_out:Texas Volts
418,20.660062575919483,-4.636806694759352,,offensive_scarcity_proxy,False,17,3B,-4.942598702373082,leave_team_out:Texas Volts
453,12.027772100557042,-2.3493453214275597,,offensive_scarcity_proxy,False,11,SS,-2.6551373290412896,leave_team_out:Texas Volts
448,9.878137932784552,-1.8991494952399652,,offensive_scarcity_proxy,False,16,LF,-2.204941502853695,leave_team_out:Texas Volts
442,2.681211501039526,-0.30081692927304093,,offensive_scarcity_proxy,False,13,CF,-0.6066089368867706,leave_team_out:Texas Volts
413,-8.266108225787189,2.307270996908448,,offensive_scarcity_proxy,False,26,RF,2.0014789892947187,leave_team_out:Texas Volts
410,-3.37328874940075,1.3488808570904771,,offensive_scarcity_proxy,False,16,C,0.8227533535123781,leave_team_out:Utah Talons
424,-20.07290108991568,5.260302288935571,,offensive_scarcity_proxy,False,18,1B,4.734174785357472,leave_team_out:Utah Talons
403,1.8546983890370958,0.06590457825872037,,offensive_scarcity_proxy,False,14,2B,-0.46022292531937864,leave_team_out:Utah Talons
416,21.166093754928465,-4.56187580289509,,offensive_scarcity_proxy,False,18,3B,-5.088003306473189,leave_team_out:Utah Talons
436,9.807969256029843,-1.7234067294562685,,offensive_scarcity_proxy,False,12,SS,-2.2495342330343675,leave_team_out:Utah Talons
432,6.486781199113997,-0.9754422184390299,,offensive_scarcity_proxy,False,16,LF,-1.501569722017129,leave_team_out:Utah Talons
401,12.48238187789848,-2.5866859323068083,,offensive_scarcity_proxy,False,12,CF,-3.1128134358849073,leave_team_out:Utah Talons
391,-10.921130444149028,3.3192554944090524,,offensive_scarcity_proxy,False,25,RF,2.7931279908309534,leave_team_out:Utah Talons
97,,1.0239148256168789,19,lower_playing_time_depth_proxy,False,11,C,,all
128,,-0.38846644749304016,20,lower_playing_time_depth_proxy,False,11,1B,,all
78,,4.721164265589829,17,lower_playing_time_depth_proxy,False,10,2B,,all
84,,-4.323529742809935,14,lower_playing_time_depth_proxy,False,13,3B,,all
138,,5.631103520008587,40,lower_playing_time_depth_proxy,False,8,SS,,all
68,,-11.121022081343979,15,lower_playing_time_depth_proxy,False,11,LF,,all
136,,-2.3758030898487217,31,lower_playing_time_depth_proxy,False,8,CF,,all
115,,2.152835555338536,12,lower_playing_time_depth_proxy,False,17,RF,,all
